"","SITE","YEAR","SEASON","sd_TEMP","TEMP_C"
"313","MOHK","2007","COLD",0.947791658403475,13.1329762111478
"314","MOHK","2007","WARM",1.57230353391089,15.512968866893
"315","MOHK","2008","COLD",0.99015540674497,13.0344603653856
"316","MOHK","2008","WARM",1.59998641875893,16.4913244518617
"317","MOHK","2009","COLD",1.11598257611704,13.1246766659034
"318","MOHK","2009","WARM",1.67605648508389,16.1931843922652
"319","MOHK","2010","COLD",1.27066044498635,13.4933254471648
"320","MOHK","2010","WARM",1.49750417396765,14.9351688248158
"321","MOHK","2011","COLD",1.0669552589733,13.0544284405771
"322","MOHK","2011","WARM",1.46893816740348,15.5115123719646
"323","MOHK","2012","COLD",1.40947776014919,13.6632602712797
"324","MOHK","2012","WARM",1.51406303287265,16.3782975053412
"325","MOHK","2013","COLD",1.42553078319672,13.7928819171104
"326","MOHK","2013","WARM",1.20502456272189,16.4783768487081
"327","MOHK","2014","COLD",1.71775589133873,15.0828247380911
"328","MOHK","2014","WARM",1.57838520550399,18.4316808970856
"329","MOHK","2015","COLD",1.52141313072874,15.6355175778954
"330","MOHK","2015","WARM",2.34748658699827,18.7071118280192
"331","MOHK","2016","COLD",0.884612676911227,14.884372078828
"332","MOHK","2016","WARM",1.2401951514836,17.2058114928997
"333","MOHK","2017","COLD",1.10101515331079,14.2508423284911
"334","MOHK","2017","WARM",1.14983809013976,15.9259223072396
"335","MOHK","2018","COLD",1.40601409784343,14.2450894927752
"336","MOHK","2018","WARM",1.64235577875249,17.9791491790537
"337","MOHK","2019","COLD",1.18349092425815,14.253650397056
"338","MOHK","2019","WARM",1.29639568445068,16.8976133394717
"339","MOHK","2020","COLD",0.876580411696051,14.9248715661104
"340","MOHK","2020","WARM",1.70584550822778,16.3552927686114
"341","MOHK","2021","COLD",1.22504685876678,13.7370043044414
"342","MOHK","2021","WARM",1.04542198987433,15.9684083621239
"343","MOHK","2022","COLD",1.15822777755871,13.9257118148841
"344","MOHK","2022","WARM",1.8177039233455,16.4560035565889
"345","MOHK","2023","COLD",1.12715344649634,13.2945972027972
"346","MOHK","2023","WARM",1.07920780687621,15.1623181903159
"347","NAPL","2002","COLD",0.777310341023544,14.9194466845878
"348","NAPL","2002","WARM",0.813747070861146,15.1395137258738
"349","NAPL","2003","COLD",1.61012772440411,13.5270210849187
"350","NAPL","2003","WARM",1.43244709526901,15.9487562985358
"351","NAPL","2004","COLD",1.02630023556289,13.7145952571779
"352","NAPL","2004","WARM",1.53044421399008,16.670041884487
"353","NAPL","2005","COLD",1.27468766440028,13.9961515309371
"354","NAPL","2005","WARM",1.37388121677587,15.4235766734973
"355","NAPL","2006","COLD",1.40011346200618,13.1256984199679
"356","NAPL","2006","WARM",1.54739134469653,16.1256335157797
"357","NAPL","2007","COLD",1.01902163865555,12.985738264745
"358","NAPL","2007","WARM",1.67461134476679,15.5392156298556
"359","NAPL","2008","COLD",1.10470507586691,12.7406256911705
"360","NAPL","2008","WARM",1.6361330987554,15.6862142404881
"361","NAPL","2009","COLD",1.13388591734941,13.1013476070529
"362","NAPL","2009","WARM",1.60922990532544,16.004615296081
"363","NAPL","2010","COLD",1.39690204225032,13.1021366190588
"364","NAPL","2010","WARM",1.46231050698331,14.6095100713628
"365","NAPL","2011","COLD",1.18472959001165,12.8008172658576
"366","NAPL","2011","WARM",1.43750700994005,15.1061618611878
"367","NAPL","2012","COLD",1.40280499431642,12.9596489549232
"368","NAPL","2012","WARM",1.59129498446559,15.9817366388309
"369","NAPL","2013","COLD",1.33924668483226,13.3936486455198
"370","NAPL","2013","WARM",1.22851104778713,16.0821154333065
"371","NAPL","2014","COLD",1.90459818825023,14.6773829965324
"372","NAPL","2014","WARM",1.53891663654433,18.067818571593
"373","NAPL","2015","COLD",1.41078549969653,15.3711227392449
"374","NAPL","2015","WARM",2.27966296492191,18.3855417793635
"375","NAPL","2016","COLD",1.08950838405749,14.4416914644192
"376","NAPL","2016","WARM",1.57562208177222,16.5087158779301
"377","NAPL","2017","COLD",1.24120244191913,13.6182060693295
"378","NAPL","2017","WARM",1.45000119766079,16.7651852160902
"379","NAPL","2018","COLD",1.48406429148493,13.9531705404168
"380","NAPL","2018","WARM",1.65594196008975,17.9538147839098
"381","NAPL","2019","COLD",1.31757706298041,13.982148347978
"382","NAPL","2019","WARM",1.36687656240145,16.7240146025346
"383","NAPL","2020","COLD",0.972132999684829,14.5868867993154
"384","NAPL","2020","WARM",1.63024989477833,15.7247057149776
"385","NAPL","2021","COLD",1.22283846870996,13.1075308564232
"386","NAPL","2021","WARM",1.07769665981289,15.6641669735858
"387","NAPL","2022","COLD",1.22495724325123,13.5821807894637
"388","NAPL","2022","WARM",1.76355560236458,16.1681724638015
"389","NAPL","2023","COLD",1.08359377369538,12.8934351967105
"390","NAPL","2023","WARM",0.909638204004172,15.2118468468468
"391","SCDI","2004","COLD",0.408852597793183,14.594250672043
"392","SCDI","2004","WARM",1.71324380075526,17.3477823315118
"393","SCDI","2005","COLD",0.881763705233727,13.8356091138081
"394","SCDI","2005","WARM",1.71263590118459,15.8449496460839
"395","SCDI","2006","COLD",1.04625194598658,13.2832115869018
"396","SCDI","2006","WARM",1.73335829855356,16.8417730289973
"397","SCDI","2007","COLD",0.736654504176642,13.1078238222016
"398","SCDI","2007","WARM",1.69205019748521,15.4673275018703
"399","SCDI","2008","COLD",1.08766842228647,12.6434693751544
"400","SCDI","2008","WARM",1.67981813863455,17.0447521965953
"401","SCDI","2009","COLD",0.837588548280964,13.0892058346839
"402","SCDI","2009","WARM",1.2853115715918,16.6618214936248
"403","SCDI","2010","COLD",0.931854698675385,13.2518066103265
"404","SCDI","2010","WARM",1.12327282248192,14.9748954304788
"405","SCDI","2011","COLD",0.798872769490526,12.7685046593737
"406","SCDI","2011","WARM",1.42692705223201,15.3870361418048
"407","SCDI","2012","COLD",1.12882419032881,13.2881776016324
"408","SCDI","2012","WARM",1.6342621652002,17.1963143693522
"409","SCDI","2013","COLD",0.831317436447478,13.0923789980366
"410","SCDI","2013","WARM",1.24378676815952,16.6419576929794
"411","SCDI","2014","COLD",1.48816246876481,14.5372702226141
"412","SCDI","2014","WARM",1.56403536151052,18.405003193877
"413","SCDI","2015","COLD",1.06793149674106,15.1614653204565
"414","SCDI","2015","WARM",2.25299317067884,18.7856361900353
"415","SCDI","2016","COLD",0.71888549643336,14.4068743452516
"416","SCDI","2016","WARM",1.90555251807826,17.1159773786911
"417","SCDI","2017","COLD",0.93722052066408,13.7636966012391
"418","SCDI","2017","WARM",1.69543794999746,17.3871242014388
"419","SCDI","2018","COLD",1.20327049408897,13.9753013024602
"420","SCDI","2018","WARM",1.96165403238208,18.3060673801715
"421","SCDI","2019","COLD",0.70624765376638,14.093622076903
"422","SCDI","2019","WARM",1.55343217786673,16.8394768070902
"423","SCDI","2020","COLD",0.579179942364475,14.1710443331056
"424","SCDI","2020","WARM",1.65070907953381,16.99410103781
"425","SCDI","2021","COLD",1.04159609300118,12.9364306811332
"426","SCDI","2021","WARM",1.52420993860968,16.6165267430243
"427","SCDI","2022","COLD",1.01390110441535,13.4409822517663
"428","SCDI","2022","WARM",1.57573239004801,16.6771852879226
"429","SCDI","2023","COLD",0.271290411676488,13.6491036674817
"430","SCTW","2004","COLD",0.42865000434956,14.6304267473118
"431","SCTW","2004","WARM",1.88466541327496,17.8155093804538
"432","SCTW","2005","COLD",0.805748240360756,14.0477833753149
"433","SCTW","2005","WARM",1.78034040044083,16.2511707331108
"434","SCTW","2006","COLD",1.11654288924986,13.4916681146829
"435","SCTW","2006","WARM",1.75435849691216,17.280620647983
"436","SCTW","2007","COLD",0.738902361896223,13.260402178732
"437","SCTW","2007","WARM",1.80384970957461,15.8585575987976
"438","SCTW","2008","COLD",0.835781537885176,12.6166727475423
"439","SCTW","2008","WARM",1.87091485687929,16.1579932238728
"440","SCTW","2009","COLD",0.587077377361473,10.4268280390959
"441","SCTW","2010","COLD",0.606133127456705,12.857823912714
"442","SCTW","2010","WARM",1.04698521132332,15.4743593365253
"443","SCTW","2011","COLD",0.842829893274467,13.0405779938647
"444","SCTW","2011","WARM",1.55933358970871,16.0247859239224
"445","SCTW","2012","COLD",1.08802038199187,13.2711474787014
"446","SCTW","2012","WARM",1.64831967189218,17.4293791506014
"447","SCTW","2013","COLD",0.964865651822984,13.5109825950744
"448","SCTW","2013","WARM",1.06212416938444,17.3322708219365
"449","SCTW","2014","COLD",1.31041615148331,14.6814801180761
"450","SCTW","2014","WARM",1.48132808766155,18.8247326197053
